facility_id,nama,jenis_raw,jenis_std,energy_group,tahun_operasi,regpln,provinsi,longitude,latitude
650,PLTMG Belimbing,PLTMG,PLTMG,non_renewable,2014,Kalimantan,Kalimantan Timur,117.4511385400001,0.1657792190000577
251,PLTMG Bontang,PLTMG,PLTMG,non_renewable,2022,Kalimantan,Kalimantan Timur,117.4540885450001,0.1374249290000193
653,PLTMG Bontang Wartsila #01,PLTMG,PLTMG,non_renewable,2009,Kalimantan,Kalimantan Timur,117.45411687,0.1374266520000446
2346,PLTMG Bontang Wartsila #02,PLTMG,PLTMG,non_renewable,2009,Kalimantan,Kalimantan Timur,117.45405214900006,0.1374323620000268
647,PLTMG Kaltimex,PLTMG,PLTMG,non_renewable,2008,Kalimantan,Kalimantan Timur,117.0529398870001,-0.3832135249999737
2349,PLTMG MPP Kaltim #01,PLTMG,PLTMG,non_renewable,2018,Kalimantan,Kalimantan Timur,117.453857985,0.1379101580000679
2350,PLTMG MPP Kaltim #02,PLTMG,PLTMG,non_renewable,2018,Kalimantan,Kalimantan Timur,117.45385608100004,0.1378340150000667
2347,PLTMG MPP Kaltim #03,PLTMG,PLTMG,non_renewable,2018,Kalimantan,Kalimantan Timur,117.45421585600002,0.1378682790000311
2348,PLTMG MPP Kaltim #04,PLTMG,PLTMG,non_renewable,2017,Kalimantan,Kalimantan Timur,117.45421395200005,0.1377921370000194
657,PLTMG SW Petung (PT. Benuo Taka Energy) #01,PLTMG,PLTMG,non_renewable,2010,Kalimantan,Kalimantan Timur,116.74014175200011,-1.2910129099999494
2352,PLTMG SW Petung (PT. Benuo Taka Energy) #02,PLTMG,PLTMG,non_renewable,2010,Kalimantan,Kalimantan Timur,116.74019410000004,-1.2910581189999562
2353,PLTMG SW Petung (PT. Benuo Taka Energy) #03,PLTMG,PLTMG,non_renewable,2010,Kalimantan,Kalimantan Timur,116.74024406800004,-1.2911057089999645
2354,PLTMG SW Petung (PT. Benuo Taka Energy) #04,PLTMG,PLTMG,non_renewable,2010,Kalimantan,Kalimantan Timur,116.74029641600008,-1.2911509179999712
648,PLTU Embalut (PT. Cahaya Fajar Kaltim) #01,PLTU,PLTU,non_renewable,2008,Kalimantan,Kalimantan Timur,117.061923857,-0.3731148409999605
2286,PLTU Embalut (PT. Cahaya Fajar Kaltim) #02,PLTU,PLTU,non_renewable,2008,Kalimantan,Kalimantan Timur,117.06222842800004,-0.3731243579999272
2289,PLTU Embalut Ekspansi (PT. Cahaya Fajar Kaltim),PLTU,PLTU,non_renewable,2008,Kalimantan,Kalimantan Timur,117.062770945,-0.3731433939999533
2181,PLTU Kaltim (FTP2) Unit 1,PLTU,PLTU,non_renewable,2019,Kalimantan,Kalimantan Timur,117.49226046,0.0543644160000553
2291,PLTU Kaltim (FTP2) Unit 2,PLTU,PLTU,non_renewable,2020,Kalimantan,Kalimantan Timur,117.49226284000008,0.0545262190000244
