objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
179,Danau/Situ,6474A,ID-PA.56,Danau Waku,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,26.95,Kecil,-,1.34749997
180,Danau/Situ,6475A,ID-PA.48,Telaga Arika,"Kec.Rofaer, Kab.Mamberamo Raya",Papua,101.34,Kecil,-,5.06699991
181,Danau/Situ,6476A,ID-PA.92,Telaga Fakuja,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,175.94,Kecil,-,8.79699993
182,Danau/Situ,6477A,ID-PA.42,Telaga Sikouw,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,43.16,Kecil,-,2.15799999
183,Danau/Situ,6489A,ID-PA.299,Noname 182,"Kec. Pantai Tim., Kab. Sarmi",Papua,36.37,Kecil,-,1.81850004
184,Danau/Situ,6502A,ID-PA.269,Noname 152,"Kec. Pantai Timur, Kab. Sarmi",Papua,23.22,Kecil,-,1.16100001
185,Danau/Situ,6604A,ID-PA.122,Noname 5,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,62.93,Kecil,-,3.14650011
186,Danau/Situ,6768A,ID-PA.142,Noname 25,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,42.71,Kecil,-,2.13549995
187,Danau/Situ,6809A,ID-PA.118,Noname 1,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,104.33,Kecil,-,5.21649981
188,Danau/Situ,6836A,ID-PA.163,Noname 46,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,175.87,Kecil,-,8.79349995
189,Danau/Situ,6891A,ID-PA.153,Noname 36,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,32.59,Kecil,-,1.62950003
190,Danau/Situ,6914A,ID-PA.144,Noname 27,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,65.45,Kecil,Oxbow,3.27250004
191,Danau/Situ,6932A,ID-PA.127,Noname 10,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,111.91,Kecil,-,5.59549999
192,Danau/Situ,6936A,ID-PA.154,Noname 37,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,116.31,Kecil,Oxbow,5.81549978
193,Danau/Situ,6952A,ID-PA.79,Telaga Korwat,"Kec.Mamberamo ulu, Kab.Mamberamo Raya",Papua,186.15,Kecil,-,9.30749989
194,Danau/Situ,6968A,ID-PA.77,Telaga Sabaki,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,137.27,Kecil,-,6.86350012
195,Danau/Situ,6972A,ID-PA.155,Noname 38,"Kec. Mamberamo Ulu, Kab. Mamberamo Raya",Papua,177.48,Kecil,-,8.8739996
196,Danau/Situ,6976A,ID-PA.103,Telaga Babre,"Kec.Rofaer, Kab.Mamberamo Raya",Papua,38.09,Kecil,-,1.90450001
197,Danau/Situ,6977A,ID-PA.78,Telaga Swagi,"Kec.Rofaer, Kab.Mamberamo Raya",Papua,326.36,Kecil,-,16.31800079
198,Danau/Situ,7014A,ID-PA.90,Danau Otirib,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,56.01,Kecil,-,2.80049992
199,Danau/Situ,7015A,ID-PA.37,Danau Otirib,"Kec.Mamberamo Ulu, Kab.Mamberamo Raya",Papua,40.89,Kecil,-,2.04450011
200,Danau/Situ,7022A,ID-PA.1,Danau Tage,"Kec.Yatamo, Kab.Paniai",Papua,1659.13,Sedang,Tektonik,82.95649719
201,Danau/Situ,7035A,ID-PA.9,Aya Peku,"Kec.Paniai Timur, Kab.Paniai",Papua,72.13,Kecil,-,3.60649991
202,Danau/Situ,7057A,ID-PA.64,Tu Peku / Kedimo Peku,"Kec.Paniai Timur, Kab.Paniai",Papua,32.27,Kecil,-,1.6135
203,Danau/Situ,7060A,ID-PA.59,Gee Peku,"Kec.Paniai Timur, Kab.Paniai",Papua,39.22,Kecil,-,1.96099997
204,Danau/Situ,7068A,ID-PA.3,Danau Pukai,"Kec.Doufo, Kab.Puncak",Papua,178.73,Kecil,-,8.9364996
205,Danau/Situ,7070A,ID-PA.102,Danau Turuawa,"Kec.Doufo, Kab.Puncak",Papua,62.08,Kecil,-,3.10400009
206,Danau/Situ,7079A,ID-PA.139,Noname 22,"Kec. Sawai, Kab. Mamberamo Raya",Papua,98.43,Kecil,-,4.92150021
207,Danau/Situ,7080A,ID-PA.2,Danau Bake,"Kec.Sawai , Kab.Mamberamo Raya",Papua,88.42,Kecil,-,4.421
208,Danau/Situ,7085A,ID-PA.76,Telaga Soi,"Kec.Tuwao, Kab.Mamberamo Raya",Papua,205.63,Kecil,-,10.28149986
