"objectid_1,""namobj"",""jnspls"",""thnopr"",""regpln"",""srs_id"",""longitude"",""latitude"""
"149,""PLTD Kembang Ragi (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.61865000000012"",""-7.0625199999999495"""
"150,""PLTD Kembang Ragi (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""120.61864000000003"",""-7.0625199999999495"""
"151,""PLTSa Pulau Tinggi"",""PLTSa"",""2022"",""Sumatera"",""4326"",""106.70382600000005"",""-2.9867669999999293"""
"152,""PLTD Lae-Lae (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.39364800300007"",""-5.137424798999973"""
"153,""PLTD Kudangan (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.03876000000008"",""-1.598859999999945"""
"154,""PLTMG 3X9770 kVA PT Berkah Kawasan Manyar Sejahtera, Unit #3"",""PLTMG"",""2022"",""Jawa-Bali"",""4326"",""112.60694300000011"",""-7.088961999999981"""
"155,""PLTMG 3X9770 kVA PT Berkah Kawasan Manyar Sejahtera, Unit #2"",""PLTMG"",""2022"",""Jawa-Bali"",""4326"",""112.60694300000011"",""-7.088961999999981"""
"156,""PLTMG 3X9770 kVA PT. BERKAH KAWASAN MANYAR SEJAHTERA, Unit #1"",""PLTMG"",""2022"",""Jawa-Bali"",""4326"",""112.60771920000002"",""-7.088695444999928"""
"157,""PLTD Tanakeke (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.28421616700007"",""-5.513459313999931"""
"158,""PLTD Tanakeke (Deutz)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.2927957490001"",""-5.50425964599998"""
"159,""PLTU Cirebon Unit 1 Kapasitas 1x660 MW (PT Cirebon Electric Power)"",""PLTU"",""2022"",""Jawa-Bali"",""4326"",""108.61561201300009"",""-6.770434368999929"""
"160,""PLTD Kudangan (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.03876000000008"",""-1.598859999999945"""
"161,""PLTD Kudangan (Deutz)"",""PLTD"",""2022"",""Kalimantan"",""4326"",""111.03876000000008"",""-1.598859999999945"""
"162,""PLTG Tello"",""PLTG"",""2022"",""Sulawesi"",""4326"",""119.47146428000008"",""-5.147800722999932"""
"163,""PLTG Tello"",""PLTG"",""2022"",""Sulawesi"",""4326"",""119.47138703700011"",""-5.147467355999936"""
"164,""PLTMH Danawarih unit 1 PT. Persada Karya Tama"",""PLTMH"",""2022"",""Jawa-Bali"",""4326"",""109.13199000000009"",""-7.0693299999999795"""
"165,""PLTMH Danawarih unit 2 PT. Persada Karya Tama"",""PLTMH"",""2022"",""Jawa-Bali"",""4326"",""109.13199000000009"",""-7.0693299999999795"""
"166,""PLTD Barrang Lompo (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.32873244300004"",""-5.050148846999946"""
"167,""PLTG Maleo"",""PLTG"",""2022"",""Sulawesi"",""4326"",""122.00653379000005"",""0.4668615490000434"""
"168,""PLTG Maleo"",""PLTG"",""2022"",""Sulawesi"",""4326"",""122.00636615200006"",""0.4667904720000706"""
"169,""PLTD Barrang Lompo (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.32871522800008"",""-5.049976026999957"""
"170,""PLTD Barrang Lompo (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.32872485600001"",""-5.050150735999978"""
"171,""PLTD Kodingareng (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.26501586500001"",""-5.1488383269999645"""
"172,""PLTD Kodingareng (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.26502345100005"",""-5.148853438999936"""
"173,""PLTD Kodingareng (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.26505379700006"",""-5.148815659999968"""
"174,""PLTD Lae-Lae (Cummins)"",""PLTD"",""2022"","" "",""4326"",""119.39361583800007"",""-5.137200409999934"""
"175,""PLTD Lae-Lae (Cummins)"",""PLTD"",""2022"",""Sulawesi"",""4326"",""119.3936259730001"",""-5.137349137999934"""
"176,""PLTMH Tonduhan"",""PLTMH"",""2022"",""Sumatera"",""4326"",""99.15676058100007"",""2.791852494000068"""
"177,""PLTMH Tonduhan"",""PLTMH"",""2022"",""Sumatera"",""4326"",""99.15676058100007"",""2.791852494000068"""
"178,""PLTMH Aek Sibundong"",""PLTMH"",""2022"",""Sumatera"",""4326"",""98.73954850300004"",""2.139783482000041"""
"179,""PLTMH Aek Silang"",""PLTMH"",""2022"",""Sumatera"",""4326"",""98.74124631800004"",""2.3089360020000527"""
"180,""PLTMH Kombih I #02"",""PLTMH"",""2022"",""Sumatera"",""4326"",""98.32164166700005"",""2.5987611110000444"""
"181,""PLTMH Kombih I"",""PLTMH"",""2022"",""Sumatera"",""4326"",""98.32164167000008"",""2.5987611110000444"""
"182,""PLTGU Gresik"",""PLTGU"",""2022"",""Jawa-Bali"",""4326"",""112.66115982400004"",""-7.16884457499998"""
"183,""PLTG Grati"",""PLTG"",""2022"",""Jawa-Bali"",""4326"",""113.02487678300008"",""-7.651871109999945"""
