objectid_1,namobj,jnspls,thnopr,regpln,srs_id,longitude,latitude
834,PLTU PT. Conch South Kalimantan Cement (SKC),PLTU,2015,Kalimantan,4326,115.56974638700001,-2.0631283249999797
835,PLTD ULD Benua Riam,PLTD,1995,Kalimantan,4326,115.22611000000006,-3.094169999999963
836,PLTD ULD Rantau Bujur,PLTD,1992,Kalimantan,4326,115.19889,-3.0822199999999498
837,PLTD ULD Tumbang Jutuh,PLTD,1994,Kalimantan,4326,113.57153000000005,-1.2889199999999619
838,PLTD ULD Tumbang Talaken,PLTD,1994,Kalimantan,4326,113.37817000000007,-1.3610799999999585
839,PLTD ULD Tewah,PLTD,1999,Kalimantan,4326,112.12231000000008,-1.9363299999999413
840,PLTD ULD Tumbang Miri,PLTD,1985,Kalimantan,4326,113.55019000000004,-0.916219999999953
841,PLTD ULD Tumbang Tambirah,PLTD,1994,Kalimantan,4326,113.82267000000002,-1.065469999999948
842,PLTD ULD Tumbang Miwan,PLTD,1992,Kalimantan,4326,113.87194000000011,-1.2169199999999591
843,PLTD ULD Tumbang Kaman,PLTD,1992,Kalimantan,4326,113.09300000000007,-1.3461699999999723
844,PLTD ULD Tumbang Hiran,PLTD,1983,Kalimantan,4326,112.69081000000006,-1.1880799999999567
845,PLTD ULD Tumbang Senamang,PLTD,1995,Kalimantan,4326,112.42475000000002,-1.1607799999999315
846,PLTD ULD Telaga,PLTD,1990,Kalimantan,4326,113.32978000000003,-2.4209699999999543
847,PLTD Pagatan,PLTD,1983,Kalimantan,4326,113.32989000000009,-3.2564199999999346
848,PLTD Telaga Pulang,PLTD,1987,Kalimantan,4326,112.26994000000002,-2.8638899999999694
849,PLTD Mendawai,PLTD,1994,Kalimantan,4326,113.26947000000007,-2.9888899999999694
850,PLTD Pangkut,PLTD,1987,Kalimantan,4326,111.91992000000005,-2.19232999999997
851,PLTD Kenambui,PLTD,1994,Kalimantan,4326,111.79167000000007,-2.4763899999999808
852,PLTD Rantau Pulut,PLTD,1986,Kalimantan,4326,112.18631000000005,-2.047749999999951
853,PLTD Sukamandang,PLTD,1995,Kalimantan,4326,112.18606000000011,-2.0479199999999764
854,PLTD Tumbang Manjul,PLTD,1994,Kalimantan,4326,111.92783000000009,-1.301499999999976
855,PLTD Kuala Jelai,PLTD,1983,Kalimantan,4326,110.73933000000005,-2.9851699999999255
